zip5,state,district,is_split,is_dc
35004,AL,3,False,False
35007,AL,6,False,False
35013,AL,4,False,False
35014,AL,3,False,False
35020,AL,7,False,False
35023,AL,7,False,False
35031,AL,4,False,False
35032,AL,3,False,False
35033,AL,4,False,False
35035,AL,6,False,False
35040,AL,6,False,False
35043,AL,6,False,False
35045,AL,6,False,False
35046,AL,6,False,False
35049,AL,4,False,False
35051,AL,6,False,False
35052,AL,3,False,False
35053,AL,4,False,False
35054,AL,3,False,False
35055,AL,4,False,False
35057,AL,4,False,False
35058,AL,4,False,False
35060,AL,7,False,False
35061,AL,7,False,False
35064,AL,7,False,False
35070,AL,4,False,False
35074,AL,6,False,False
35077,AL,4,False,False
35078,AL,6,False,False
35082,AL,3,False,False
35083,AL,4,False,False
35085,AL,6,False,False
35091,AL,6,False,False
35096,AL,3,False,False
35097,AL,4,False,False
35098,AL,4,False,False
35112,AL,3,False,False
35114,AL,6,False,False
35115,AL,6,False,False
35116,AL,6,False,False
35118,AL,7,False,False
35120,AL,3,False,False
35124,AL,6,False,False
35125,AL,3,False,False
35127,AL,7,False,False
35131,AL,3,False,False
35135,AL,3,False,False
35136,AL,6,False,False
35143,AL,6,False,False
35147,AL,6,False,False
35149,AL,3,False,False
35160,AL,3,False,False
35171,AL,6,False,False
35176,AL,6,False,False
35183,AL,6,False,False
35185,AL,6,False,False
35186,AL,6,False,False
35203,AL,7,False,False
35204,AL,7,False,False
35207,AL,7,False,False
35208,AL,7,False,False
35211,AL,7,False,False
35218,AL,7,False,False
35221,AL,7,False,False
35224,AL,7,False,False
35228,AL,7,False,False
35233,AL,7,False,False
35234,AL,7,False,False
35242,AL,6,False,False
35243,AL,6,False,False
35249,AL,7,False,False
35254,AL,7,False,False
35406,AL,4,False,False
35441,AL,7,False,False
35442,AL,7,False,False
35443,AL,7,False,False
35444,AL,7,False,False
35446,AL,4,False,False
35447,AL,7,False,False
35452,AL,4,False,False
35453,AL,7,False,False
35457,AL,4,False,False
35458,AL,4,False,False
35459,AL,7,False,False
35460,AL,7,False,False
35461,AL,7,False,False
35462,AL,7,False,False
35464,AL,7,False,False
35470,AL,7,False,False
35473,AL,4,False,False
35475,AL,4,False,False
35476,AL,4,False,False
35477,AL,7,False,False
35481,AL,7,False,False
35487,AL,7,False,False
35490,AL,7,False,False
35491,AL,7,False,False
35501,AL,4,False,False
35503,AL,4,False,False
35504,AL,4,False,False
35540,AL,4,False,False
