name,fec_candidate_id,party,chamber,committee,first_year,transition_cycle,cycles_before,cycles_after,median_pac_before,median_pac_after,mean_pac_before,mean_pac_after,pct_change_pac,median_total_before,median_total_after,pct_change_total,median_indiv_before,median_indiv_after,flag
Jason Smith,H4MO08162,R,house,house_ways_and_means,2015,2016,1,4,829005.38,1387915.96,829005.38,1889516.25,67.4,1735609.96,2589647.84,49.2,831899.04,959479.07,
Vern Buchanan,H6FL13148,R,house,house_ways_and_means,2011,2012,0,6,0,1287533.71,0,1280640.69,,0,2408086.58,,0,1004417.69,no_before_data
Adrian Smith,H6NE03115,R,house,house_ways_and_means,2011,2012,0,6,0,1055862.5,0,1071778.06,,0,1367532.58,,0,283902.2,no_before_data
Mike Kelly,H0PA03271,R,house,house_ways_and_means,2013,2014,0,5,0,1125950.0,0,1247604.74,,0,1823035.97,,0,605065.24,no_before_data
David Schweikert,H4AZ06045,R,house,house_ways_and_means,2015,2016,1,4,252752.54,789715.04,252752.54,909627.09,212.4,1127799.43,2158539.87,91.4,438128.66,1161755.08,
Darin LaHood,H6IL18088,R,house,house_ways_and_means,2017,2018,1,3,1074226.24,2137250.0,1074226.24,2060512.76,99.0,2550357.2,3753031.58,47.2,1253691.43,840718.93,
Jodey Arrington,H6TX19099,R,house,house_ways_and_means,2019,2020,2,2,448794.08,1301078.93,448794.08,1301078.93,189.9,1480968.95,2669936.54,80.3,965725.35,529711.01,
Ron Estes,H8KS04112,R,house,house_ways_and_means,2019,2020,1,2,816237.7,1107887.29,816237.7,1107887.29,35.7,1850089.59,2078842.88,12.4,939730.24,636362.55,
Lloyd Smucker,H6PA16320,R,house,house_ways_and_means,2017,2018,1,3,506473.0,762640.0,506473.0,857403.93,50.6,1728569.42,1560516.69,-9.7,540776.34,408857.5,
Kevin Hern,H8OK01157,R,house,house_ways_and_means,2021,2022,2,1,467900.5,1520963.93,467900.5,1520963.93,225.1,2182083.27,2709539.4,24.2,882677.81,663456.44,limited_after_data
Carol Miller,H8WV03097,R,house,house_ways_and_means,2021,2022,2,1,416901.31,1143059.24,416901.31,1143059.24,174.2,1427854.29,1751492.0,22.7,638097.72,574240.97,limited_after_data
Greg Murphy,H0NC03172,R,house,house_ways_and_means,2021,2022,1,1,560847.41,872700.0,560847.41,872700.0,55.6,1874948.63,1939613.96,3.4,851421.39,856402.61,limited_after_data
David Kustoff,H2TN07103,R,house,house_ways_and_means,2025,2026,5,0,718891.62,0,708212.98,0,,1792247.33,0,,1036819.93,0,limited_after_data
Brian Fitzpatrick,H6PA08277,R,house,house_ways_and_means,2023,2024,4,0,1651656.4,0,1537905.09,0,,3842888.5,0,,1479951.04,0,limited_after_data
Greg Steube,H8FL17053,R,house,house_ways_and_means,2023,2024,3,0,351075.0,0,358055.0,0,,879106.19,0,,494978.84,0,limited_after_data
Claudia Tenney,H4NY22051,R,house,house_ways_and_means,2023,2024,5,0,441700.0,0,564357.91,0,,3126230.61,0,,1011027.35,0,limited_after_data
Michelle Fischbach,H0MN07091,R,house,house_ways_and_means,2023,2024,2,0,418477.24,0,418477.24,0,,2161799.77,0,,886353.23,0,limited_after_data
Blake Moore,H0UT01205,R,house,house_ways_and_means,2023,2024,2,0,462145.0,0,462145.0,0,,1328153.69,0,,650938.44,0,limited_after_data
Beth Van Duyne,H0TX24209,R,house,house_ways_and_means,2023,2024,2,0,808529.7,0,808529.7,0,,3606363.87,0,,1590970.52,0,limited_after_data
Randy Feenstra,H0IA04145,R,house,house_ways_and_means,2023,2024,2,0,880086.75,0,880086.75,0,,2396753.21,0,,1111517.5,0,limited_after_data
Nicole Malliotakis,H0NY11078,R,house,house_ways_and_means,2023,2024,2,0,705783.24,0,705783.24,0,,4074324.19,0,,2448916.35,0,limited_after_data
Mike Carey,H2OH15228,R,house,house_ways_and_means,2023,2024,1,0,945819.57,0,945819.57,0,,2363798.92,0,,1060009.29,0,limited_after_data
Rudy Yakym,H2IN02295,R,house,house_ways_and_means,2025,2026,2,0,481848.58,0,481848.58,0,,2439139.42,0,,785004.55,0,limited_after_data
Max Miller,H2OH16051,R,house,house_ways_and_means,2025,2026,2,0,392963.2,0,392963.2,0,,2517505.36,0,,1013644.42,0,limited_after_data
Aaron Bean,H2FL04211,R,house,house_ways_and_means,2025,2026,2,0,645375.0,0,645375.0,0,,1468373.52,0,,714356.37,0,limited_after_data
Nathaniel Moran,H2TX01112,R,house,house_ways_and_means,2025,2026,2,0,279726.37,0,279726.37,0,,1067707.96,0,,493998.17,0,limited_after_data
Richard Neal,H8MA02041,D,house,house_ways_and_means,1993,1994,0,6,0,2364301.16,0,2218702.27,,0,3389439.44,,0,776838.5,no_before_data
Lloyd Doggett,H4TX10028,D,house,house_ways_and_means,1999,2000,0,6,0,443180.67,0,425344.16,,0,1231552.46,,0,580346.2,no_before_data
Mike Thompson,H8CA01109,D,house,house_ways_and_means,2007,2008,0,6,0,1281876.41,0,1328786.05,,0,2181161.41,,0,651666.41,no_before_data
John Larson,H8CT01046,D,house,house_ways_and_means,2005,2006,0,6,0,1129347.67,0,1125826.45,,0,1628339.4,,0,413983.72,no_before_data
Danny Davis,H4IL07037,D,house,house_ways_and_means,2007,2008,0,6,0,444273.03,0,444137.14,,0,551314.16,,0,59295.0,no_before_data
Linda Sanchez,H2CA39078,D,house,house_ways_and_means,2009,2010,0,6,0,1121836.91,0,1113935.35,,0,1500079.34,,0,319672.65,no_before_data
