member_name,party,state,district,chamber,committee,pct_dc_kstreet,amt_dc_kstreet,total_itemized_amount
Linda Sanchez,D,CA,38.0,house,house_ways_and_means,18.81,68250,362842
Stacey Plaskett,D,VI,0.0,house,house_ways_and_means,13.58,43100,317446
Don Beyer,D,VA,8.0,house,house_ways_and_means,13.25,132791,1002034
Peter Welch,D,VT,,senate,senate_finance,10.1,5900,58406
Ben Ray Lujan,D,NM,,senate,senate_finance,9.42,76934,816400
Kevin Hern,R,OK,1.0,house,house_ways_and_means,9.19,59845,651132
Maggie Hassan,D,NH,,senate,senate_finance,8.76,98340,1122848
Steven Horsford,D,NV,4.0,house,house_ways_and_means,8.65,224775,2598960
Richard Neal,D,MA,1.0,house,house_ways_and_means,8.59,64000,745005
Terri Sewell,D,AL,7.0,house,house_ways_and_means,8.43,74870,887691
Darin LaHood,R,IL,16.0,house,house_ways_and_means,7.95,66459,836260
Mark Warner,D,VA,,senate,senate_finance,7.88,154470,1960339
Gwen Moore,D,WI,4.0,house,house_ways_and_means,7.8,26910,345033
Mike Crapo,R,ID,,senate,senate_finance,6.75,20100,297674
Jodey Arrington,R,TX,19.0,house,house_ways_and_means,6.52,36250,555652
Jimmy Gomez,D,CA,34.0,house,house_ways_and_means,6.45,83200,1290589
Brendan Boyle,D,PA,2.0,house,house_ways_and_means,6.39,40300,630438
Thom Tillis,R,NC,,senate,senate_finance,6.38,85950,1347146
Sheldon Whitehouse,D,RI,,senate,senate_finance,6.09,125367,2058014
Mike Carey,R,OH,15.0,house,house_ways_and_means,5.9,49338,835588
Steve Daines,R,MT,,senate,senate_finance,5.81,26904,462843
Carol Miller,R,WV,2.0,house,house_ways_and_means,5.63,32124,571037
Lloyd Smucker,R,PA,11.0,house,house_ways_and_means,5.6,16250,290100
Ron Estes,R,KS,4.0,house,house_ways_and_means,5.5,21800,396434
Greg Steube,R,FL,17.0,house,house_ways_and_means,5.44,22600,415271
Roger Marshall,R,KS,,senate,senate_finance,5.34,21050,394318
John Barrasso,R,WY,,senate,senate_finance,5.32,175975,3310219
Bill Cassidy,R,LA,,senate,senate_finance,5.27,76492,1451213
Ron Wyden,D,OR,,senate,senate_finance,5.07,20150,397302
Maria Cantwell,D,WA,,senate,senate_finance,4.94,447354,9051589
Mike Kelly,R,PA,16.0,house,house_ways_and_means,4.55,24600,541197
Tina Smith,D,MN,,senate,senate_finance,4.25,32980,775863
Adrian Smith,R,NE,3.0,house,house_ways_and_means,4.14,18500,447093
Marsha Blackburn,R,TN,,senate,senate_finance,4.07,138516,3401229
Aaron Bean,R,FL,4.0,house,house_ways_and_means,3.8,23500,618152
Vern Buchanan,R,FL,16.0,house,house_ways_and_means,3.78,18500,488845
Jason Smith,R,MO,8.0,house,house_ways_and_means,3.72,65314,1756665
David Kustoff,R,TN,8.0,house,house_ways_and_means,3.58,37000,1032448
James Lankford,R,OK,,senate,senate_finance,3.56,12750,358403
Danny Davis,D,IL,7.0,house,house_ways_and_means,3.54,11250,317612
Claudia Tenney,R,NY,24.0,house,house_ways_and_means,3.45,38016,1100698
Beth Van Duyne,R,TX,24.0,house,house_ways_and_means,3.41,27577,809335
Blake Moore,R,UT,1.0,house,house_ways_and_means,3.21,29700,925538
David Schweikert,R,AZ,1.0,house,house_ways_and_means,3.19,52550,1648703
Mike Thompson,D,CA,4.0,house,house_ways_and_means,3.18,25509,803374
Michelle Fischbach,R,MN,7.0,house,house_ways_and_means,3.18,18150,570564
Randy Feenstra,R,IA,4.0,house,house_ways_and_means,3.02,45991,1523397
John Larson,D,CT,1.0,house,house_ways_and_means,2.93,12585,428855
Nathaniel Moran,R,TX,1.0,house,house_ways_and_means,2.87,8750,304802
Jimmy Panetta,D,CA,19.0,house,house_ways_and_means,2.83,42050,1487740
Suzan DelBene,D,WA,1.0,house,house_ways_and_means,2.74,36600,1336414
Nicole Malliotakis,R,NY,11.0,house,house_ways_and_means,2.56,30590,1192614
Todd Young,R,IN,,senate,senate_finance,2.4,14100,587065
John Cornyn,R,TX,,senate,senate_finance,2.22,26500,1193195
John Thune,R,SD,,senate,senate_finance,2.22,24500,1103601
Dwight Evans,D,PA,3.0,house,house_ways_and_means,2.08,6000,288875
Catherine Cortez Masto,D,NV,,senate,senate_finance,1.97,25146,1276360
Greg Murphy,R,NC,3.0,house,house_ways_and_means,1.96,17750,907043
Thomas Suozzi,D,NY,3.0,house,house_ways_and_means,1.91,114987,6014193
Brad Schneider,D,IL,10.0,house,house_ways_and_means,1.9,38746,2044077
Michael Bennet,D,CO,,senate,senate_finance,1.83,9215,502934
Max Miller,R,OH,7.0,house,house_ways_and_means,1.79,13050,727835
Brian Fitzpatrick,R,PA,1.0,house,house_ways_and_means,1.75,40370,2306017
Rudy Yakym,R,IN,2.0,house,house_ways_and_means,1.68,18155,1080325
Tim Scott,R,SC,,senate,senate_finance,1.65,195732,11860794
Raphael Warnock,D,GA,,senate,senate_finance,1.59,47279,2979130
Chuck Grassley,R,IA,,senate,senate_finance,1.2,2950,246052
Elizabeth Warren,D,MA,,senate,senate_finance,1.07,43621,4095429
Lloyd Doggett,D,TX,37.0,house,house_ways_and_means,0.9,5865,652694
Judy Chu,D,CA,28.0,house,house_ways_and_means,0.86,9650,1127907
Bernie Sanders,I,VT,,senate,senate_finance,0.77,26429,3416238
Ron Johnson,R,WI,,senate,senate_finance,0.54,19310,3575762
