member_name,rank,employer,total,count
Jason Smith,1,BLACKSTONE,66900,24
Jason Smith,2,HERZOG,42900,14
Jason Smith,3,TRIBE,42700,20
Jason Smith,4,APOLLO GLOBAL,23100,11
Jason Smith,5,WCAS,15700,13
Jason Smith,6,BLUFF POINT,12400,7
Jason Smith,7,CHARTER BROKERAGE,12000,7
Jason Smith,8,BGR,11400,10
Jason Smith,9,WELSH CARSON,11000,8
Jason Smith,10,APOLLO,10700,5
Jason Smith,11,CAPITOL TAX,10000,8
Jason Smith,12,RED APPLE,9900,6
Jason Smith,13,INVARIANT,8500,10
Jason Smith,14,NORTHWESTERN MUTUAL,8000,8
Jason Smith,15,ADVANTAGE CAPITAL,7800,5
Jason Smith,16,AXON,7500,5
Vern Buchanan,1,DERICK DERMATOLOGY,13200,4
Vern Buchanan,2,BLACKSTONE,8100,3
Vern Buchanan,3,CAPITOL COUNSEL,8000,5
Vern Buchanan,4,CASL,7609,4
Vern Buchanan,5,TERREG,7600,3
Vern Buchanan,6,EMSI TAMPA,6600,2
Vern Buchanan,7,SENIOR STAR,6600,2
Vern Buchanan,8,FINANCIAL INSURANCE,6600,2
Vern Buchanan,9,SOROBAN CAPITAL,6600,2
Vern Buchanan,10,HAMLIN &,6600,2
Vern Buchanan,11,STEPHENS,6600,2
Vern Buchanan,12,CARNIVAL CRUISE LINE,6600,2
Vern Buchanan,13,SEAN N PARKER FOUNDATION,6600,2
Vern Buchanan,14,HAYCORP,6600,2
Vern Buchanan,15,FEDERAL POLICY,6600,2
Vern Buchanan,16,BEVERAGE POUCH,6600,2
Adrian Smith,1,HAWKINS CONSTRUCTION,13200,5
Adrian Smith,2,SANDHILLS PUBLISHING,13200,4
Adrian Smith,3,OAKLAND ATHLETICS,6600,2
Adrian Smith,4,SEAN N PARKER FOUNDATION,6600,5
Adrian Smith,5,CASSLING DIAGNOSTIC,6600,5
Adrian Smith,6,FREMONT CONTRACT CARRIERS,6600,2
Adrian Smith,7,BRUNING LAW,6600,2
Adrian Smith,8,BLACKSTONE,6600,3
Adrian Smith,9,BAXTER AUTOMOTIVE,6600,5
Adrian Smith,10,HUB,6600,2
Adrian Smith,11,PETER KIEWIT SONS,6600,5
Adrian Smith,12,DCI,6500,9
Adrian Smith,13,AKRS EQUIPMENT,6200,2
Adrian Smith,14,SAMPSON CONSTRUCTION,5300,3
Adrian Smith,15,ROUTE ONE INVESTMENT,5000,3
Adrian Smith,16,CAPITOL TAX,5000,5
Adrian Smith,17,THE RUSSELL,5000,4
Mike Kelly,1,THE PARKER FOUNDATION,13200,8
Mike Kelly,2,GREATER PITTSBURGH AUTO DEALERS ASSOCI,8300,3
Mike Kelly,3,O'BRIEN AUTOMOTIVE TEAM,6600,2
Mike Kelly,4,JIM NORTON TOYOTA,6600,2
Mike Kelly,5,PENNECO,6600,2
Mike Kelly,6,ELLWOOD FORGE,6600,1
Mike Kelly,7,CAPITOL COUNSEL,5500,8
Mike Kelly,8,VETERANS GUARDIAN,5000,2
Mike Kelly,9,MCLEOD REGIONAL,5000,2
Mike Kelly,10,SYNERGI,5000,2
Mike Kelly,11,MEHLMAN CASTAGNETTI ROSEN & THOMAS,4300,3
Mike Kelly,12,MAYER BROWN,4300,4
Mike Kelly,13,TODD STRATEGY,3500,7
