week_start,geo_class,total_amount,transaction_count,distinct_donors
2022-12-26,dc_kstreet,2811,6,6
2022-12-26,in_district,3000,2,2
2022-12-26,in_state,7356,77,72
2022-12-26,in_state_out_district,3360,5,5
2022-12-26,out_of_state,22960,582,453
2023-01-02,dc_kstreet,6274,40,38
2023-01-02,in_district,15020,21,16
2023-01-02,in_state,30731,610,474
2023-01-02,in_state_out_district,12080,12,11
2023-01-02,out_of_state,189789,5889,4468
2023-01-09,dc_kstreet,11759,50,41
2023-01-09,in_district,48295,34,27
2023-01-09,in_state,94743,1163,994
2023-01-09,in_state_out_district,10929,10,10
2023-01-09,out_of_state,255126,5176,3570
2023-01-16,dc_kstreet,19791,60,51
2023-01-16,in_district,31035,21,16
2023-01-16,in_state,56504,809,577
2023-01-16,in_state_out_district,29007,19,16
2023-01-16,out_of_state,207341,4890,3268
2023-01-23,dc_kstreet,31566,85,71
2023-01-23,in_district,38575,38,31
2023-01-23,in_state,61777,815,657
2023-01-23,in_state_out_district,31766,29,27
2023-01-23,out_of_state,266088,5389,3865
2023-01-30,dc_kstreet,31655,104,91
2023-01-30,in_district,35302,41,36
2023-01-30,in_state,75865,904,742
2023-01-30,in_state_out_district,29928,52,48
2023-01-30,out_of_state,390904,8521,6244
2023-01-30,unknown,1500,3,3
2023-02-06,dc_kstreet,30046,64,55
2023-02-06,in_district,74004,63,55
2023-02-06,in_state,61239,649,530
2023-02-06,in_state_out_district,67497,67,61
2023-02-06,out_of_state,342348,4079,2773
2023-02-13,dc_kstreet,18602,57,55
2023-02-13,in_district,52779,52,43
2023-02-13,in_state,68240,806,656
2023-02-13,in_state_out_district,67394,61,57
2023-02-13,out_of_state,430874,5116,3593
2023-02-20,dc_kstreet,22035,58,53
2023-02-20,in_district,62451,59,56
2023-02-20,in_state,102808,758,603
2023-02-20,in_state_out_district,41284,43,41
2023-02-20,out_of_state,329930,4554,3196
2023-02-27,dc_kstreet,43319,120,108
2023-02-27,in_district,145275,103,88
2023-02-27,in_state,145750,1182,962
2023-02-27,in_state_out_district,51011,62,60
2023-02-27,out_of_state,523817,9158,6768
2023-03-06,dc_kstreet,63331,73,63
2023-03-06,in_district,175227,141,121
2023-03-06,in_state,197375,1145,982
2023-03-06,in_state_out_district,72588,72,66
2023-03-06,out_of_state,547568,4610,3011
2023-03-13,dc_kstreet,86146,112,99
2023-03-13,in_district,106011,88,78
2023-03-13,in_state,169709,1130,866
2023-03-13,in_state_out_district,184396,114,93
2023-03-13,out_of_state,633412,6204,4246
2023-03-13,unknown,1000,1,1
2023-03-20,dc_kstreet,90685,131,107
2023-03-20,in_district,158188,114,100
2023-03-20,in_state,167743,930,727
2023-03-20,in_state_out_district,161174,115,98
2023-03-20,out_of_state,639064,5460,3590
2023-03-27,dc_kstreet,229876,299,253
2023-03-27,in_district,209624,199,171
