sector,individual_total,individual_count,individual_donors,pac_total,combined_total,individual_share_pct
Finance & Insurance,8575001,11494,4020,9945239,18520240,46.3
Healthcare & Pharma,3466627,26985,4505,7635623,11102250,31.2
Professional Services,4594450,13023,3626,1740000,6334450,72.5
Real Estate & Housing,2730879,5179,1860,2767696,5498575,49.7
Labor,79572,1558,197,3998403,4077975,2.0
Energy & Utilities,1161059,3394,906,2633896,3794955,30.6
Tech & Telecom,1603647,10775,1498,2097050,3700697,43.3
Lobbying & Gov Relations,3665126,4379,1430,0,3665126,100.0
Transportation,827768,3357,667,2263175,3090943,26.8
Construction & Engineering,992432,4243,849,1354250,2346682,42.3
Food & Beverage,431015,1633,352,957458,1388473,31.0
Defense & Aerospace,162057,1597,251,1117397,1279454,12.7
Retail & Consumer,183980,2309,275,1094000,1277980,14.4
Other Industry,546694,924,169,0,546694,100.0
Agriculture & Food,60306,29,7,0,60306,100.0
Ideological,112400,41,9,-574712,-462312,-24.3
