member_name,sector,individual_total,individual_count
Aaron Bean,Finance & Insurance,54429,28
Aaron Bean,Lobbying & Gov Relations,43075,60
Aaron Bean,Healthcare & Pharma,42500,32
Aaron Bean,Professional Services,30529,28
Aaron Bean,Real Estate & Housing,23379,13
Aaron Bean,Construction & Engineering,19100,13
Aaron Bean,Other Industry,6600,2
Aaron Bean,Transportation,4779,3
Aaron Bean,Energy & Utilities,3500,2
Aaron Bean,Tech & Telecom,2000,1
Aaron Bean,Ideological,1000,1
Aaron Bean,Retail & Consumer,1000,1
Adrian Smith,Lobbying & Gov Relations,37500,49
Adrian Smith,Finance & Insurance,37012,42
Adrian Smith,Construction & Engineering,23500,11
Adrian Smith,Professional Services,16400,12
Adrian Smith,Tech & Telecom,11400,8
Adrian Smith,Healthcare & Pharma,10550,12
Adrian Smith,Transportation,6600,5
Adrian Smith,Real Estate & Housing,4612,6
Adrian Smith,Labor,4550,5
Adrian Smith,Other Industry,3500,2
Adrian Smith,Agriculture & Food,3300,1
Adrian Smith,Energy & Utilities,2500,1
Adrian Smith,Food & Beverage,750,2
Adrian Smith,Ideological,500,1
Ben Ray Lujan,Healthcare & Pharma,49801,425
Ben Ray Lujan,Lobbying & Gov Relations,47550,58
Ben Ray Lujan,Professional Services,43139,250
Ben Ray Lujan,Tech & Telecom,37750,55
Ben Ray Lujan,Finance & Insurance,21425,41
Ben Ray Lujan,Real Estate & Housing,13940,65
Ben Ray Lujan,Energy & Utilities,9384,54
Ben Ray Lujan,Agriculture & Food,3300,1
Ben Ray Lujan,Food & Beverage,1510,3
Ben Ray Lujan,Construction & Engineering,1255,24
Ben Ray Lujan,Labor,1000,1
Ben Ray Lujan,Defense & Aerospace,676,24
Ben Ray Lujan,Transportation,645,31
Bernie Sanders,Healthcare & Pharma,161157,9290
Bernie Sanders,Tech & Telecom,109721,4632
Bernie Sanders,Professional Services,48136,1892
Bernie Sanders,Finance & Insurance,29613,893
Bernie Sanders,Construction & Engineering,18571,995
Bernie Sanders,Energy & Utilities,17117,918
Bernie Sanders,Transportation,12823,726
Bernie Sanders,Labor,12521,905
Bernie Sanders,Retail & Consumer,11440,910
Bernie Sanders,Real Estate & Housing,11345,694
Bernie Sanders,Food & Beverage,8737,674
Bernie Sanders,Defense & Aerospace,8175,398
Bernie Sanders,Other Industry,2802,239
Bernie Sanders,Lobbying & Gov Relations,1161,68
