sector,employer,total,count,distinct_members_funded
Agriculture & Food,LEPRINO FOODS,31800,12,12
Agriculture & Food,BREAKTHRU BEVERAGE,28506,17,4
Construction & Engineering,HERZOG,62700,20,3
Construction & Engineering,EDW C LEVY,26070,10,3
Construction & Engineering,HDR ENGINEERING,14650,6,2
Construction & Engineering,HAWKINS CONSTRUCTION,13200,5,1
Construction & Engineering,HUNTER ENGINEERING,13200,4,2
Construction & Engineering,SCOTT CONSTRUCTION,12050,60,5
Construction & Engineering,MANSON CONSTRUCTION,11900,6,1
Construction & Engineering,DENARK CONSTRUCTION,10600,6,2
Construction & Engineering,EASTERN SHIPBUILDING,10000,4,1
Construction & Engineering,GEHRY,9900,3,1
Defense & Aerospace,THE BOEING,42696,108,10
Defense & Aerospace,ANDURIL INDUSTRIES,27600,13,11
Defense & Aerospace,BOEING,17192,253,12
Defense & Aerospace,MILITARY PRODUCE,8800,7,3
Defense & Aerospace,INNOVATIVE DEFENSE,6600,2,1
Defense & Aerospace,LOCKHEED MARTIN,5856,202,11
Defense & Aerospace,UNITED STATES DEPARTMENT OF DEFENSE,5500,2,1
Defense & Aerospace,NORTHROP GRUMMAN,4919,113,8
Defense & Aerospace,AMERICAN DEFENSE,4000,9,5
Defense & Aerospace,RAYTHEON,3719,187,7
Energy & Utilities,INTERSECT POWER,55000,25,10
Energy & Utilities,NEXTERA ENERGY,49183,50,4
Energy & Utilities,CONSTELLATION,28367,44,4
Energy & Utilities,TEXAS CRUDE ENERGY,26919,18,3
Energy & Utilities,KOCH INDUSTRIES,22982,29,9
Energy & Utilities,CONSTELLATION ENERGY,20411,25,1
Energy & Utilities,CLEAN ENERGY FUELS,18061,26,5
Energy & Utilities,DEVON ENERGY,17600,11,3
Energy & Utilities,CONESTOGA ENERGY,16500,6,4
Energy & Utilities,HELION ENERGY,15049,9,5
Finance & Insurance,BLACKSTONE,490426,196,38
Finance & Insurance,APOLLO GLOBAL,332366,181,28
Finance & Insurance,APOLLO,232566,128,24
Finance & Insurance,GOLDMAN SACHS,156126,103,16
Finance & Insurance,ANDREESSEN HOROWITZ,134284,52,14
Finance & Insurance,WCAS,121702,72,8
