pac_cmte_id,pac_name,sector,total_given,num_recipients,leadership_recipients,rankfile_recipients,avg_to_leadership,avg_to_rankfile,leadership_premium_pct
C00147066,AMERICAN COUNCIL OF LIFE INSURERS POLITICAL ACTION COMMITTEE,Finance & Insurance,327500,58,7,3,6643,9167,-27.5
C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),Tech & Telecom,324000,56,3,3,7333,10000,-26.7
C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)",Tech & Telecom,223000,54,2,1,10000,10000,0.0
C00106146,AMERICAN HOSPITAL ASSOCIATION PAC,Healthcare & Pharma,487522,52,4,8,8125,21940,-63.0
C00283135,NATIONAL ASSOCIATION OF BENEFITS AND INSURANCE PROFESSIONALS PAC (NABIP PAC),Finance & Insurance,172000,52,1,1,5000,5000,0.0
C00127779,PRUDENTIAL FINANCIAL INC. FEDERAL POLITICAL ACTION COMMITTEE (AKA - PRUDENTIAL FEDERAL PAC),Finance & Insurance,237500,52,1,1,5000,10000,-50.0
C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,Defense & Aerospace,209000,51,1,2,10000,7500,33.3
C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)",Transportation,236500,50,1,2,3000,8250,-63.6
C00010868,AMERICAN COUNCIL OF ENGINEERING COMPANIES (ACEC/PAC),Construction & Engineering,381000,50,1,5,9500,9700,-2.1
C00030718,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,Real Estate & Housing,822538,50,6,32,20222,19147,5.6
C00197228,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)",Healthcare & Pharma,256500,48,1,1,10000,12000,-16.7
C00002972,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION AMERICA'S ELECTRIC COOPERATIVES PAC,Energy & Utilities,339500,48,1,1,10000,8500,17.6
C00447565,FINSECA PAC,Finance & Insurance,273500,48,2,2,5500,10000,-45.0
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),Finance & Insurance,273000,48,2,1,10000,10000,0.0
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,Retail & Consumer,360000,47,3,11,9167,9545,-4.0
C00105981,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),Finance & Insurance,306000,47,0,6,,10000,
C00077321,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION COMMITTEE,Professional Services,417000,47,4,16,10000,10094,-0.9
C00238725,NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION PAC,Labor,246500,46,0,8,,8188,
C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE,Transportation,181000,46,0,1,,10000,
C00130773,NATIONAL MULTIFAMILY HOUSING COUNCIL POLITICAL ACTION COMMITTEE,Real Estate & Housing,417000,46,5,11,10000,10000,0.0
