member_name,party,state,district,chamber,committee,role,is_territorial,total_itemized_amount,total_contribution_count,amt_in_district,pct_in_district,count_in_district,amt_in_state_out_district,pct_in_state_out_district,count_in_state_out_district,amt_in_state,pct_in_state,count_in_state,amt_dc_kstreet,pct_dc_kstreet,count_dc_kstreet,amt_out_of_state,pct_out_of_state,count_out_of_state,amt_unknown,pct_unknown,count_unknown,pct_outside,pct_in_home,avg_contribution,unique_donors_approx,top_outside_employer_1,top_outside_employer_2,top_outside_employer_3,top_outside_state_1,top_outside_state_2,top_outside_state_3,unitemized_pct,capture_rate_pct,jfc_flag,fec_total_receipts,fec_pac_contributions
Stacey Plaskett,D,VI,0.0,house,house_ways_and_means,Member,True,111150,77,0,0.0,0,5200,4.68,8,0,0.0,0,14250,12.82,11,91700,82.5,58,0,0.0,0,100.0,0.0,1443.51,61,BLOOMBERG,NEW VOICES FUND,HRA SOLUTIONS,GA,NY,FL,4.12,101.01,False,680670.67,334670.41
Linda Sanchez,D,CA,38.0,house,house_ways_and_means,Member,False,102632,102,325,0.32,4,20280,19.76,47,0,0.0,0,42227,41.14,25,39800,38.78,26,0,0.0,0,99.68,0.32,1006.2,69,INVARIANT,COMCAST,AEROSCRAFT,DC,VA,FL,1.32,97.65,False,1548292.39,1153570.08
Brendan Boyle,D,PA,2.0,house,house_ways_and_means,Member,False,294204,241,2735,0.93,16,61750,20.99,39,0,0.0,0,19935,6.78,31,209784,71.31,155,0,0.0,0,99.07,0.93,1220.76,199,AMSCOT FINANCIAL,GI,BOSTON BEER,NY,CA,FL,0.54,101.2,False,2337216.44,1112299.44
Steven Horsford,D,NV,4.0,house,house_ways_and_means,Member,False,516012,552,7385,1.43,50,103543,20.07,156,0,0.0,0,45436,8.81,48,359648,69.7,298,0,0.0,0,98.57,1.43,934.8,336,ANDREESSEN HOROWITZ,STANLEY GABART,APOLLO GLOBAL,CA,NY,FL,3.33,101.48,False,5441412.69,2541047.83
Claudia Tenney,R,NY,24.0,house,house_ways_and_means,Member,False,348962,1947,7000,2.01,13,98496,28.23,292,0,0.0,0,10000,2.87,11,233466,66.9,1631,0,0.0,0,97.99,2.01,179.23,371,CORNING,BLUE OWL CAPITAL,ADVANTAGE CAPITAL,CA,FL,TX,19.69,107.93,False,2995402.57,1202564.09
Rudy Yakym,R,IN,2.0,house,house_ways_and_means,Member,False,607260,13486,13223,2.18,107,46937,7.73,236,0,0.0,0,28883,4.76,183,518217,85.34,12960,0,0.0,0,97.82,2.18,45.03,1105,KIRKLAND & ELLIS,MARQUIS,CAPITOL TAX,IL,NY,VA,33.93,110.59,False,3726754.51,730897.16
Terri Sewell,D,AL,7.0,house,house_ways_and_means,Member,False,100945,167,2750,2.72,3,24550,24.32,58,0,0.0,0,30810,30.52,36,42835,42.43,70,0,0.0,0,97.28,2.72,604.46,128,GRAIL,MEDICAL PLACE,ARKANSAS UROLOGY,DC,NV,VA,2.58,99.22,False,3036770.95,2063873.95
Bernie Sanders,I,VT,,senate,senate_finance,Member,False,4765298,65010,0,0.0,0,0,0.0,0,142302,2.99,2257,58800,1.23,695,4564196,95.78,62058,0,0.0,0,97.01,2.99,73.3,16263,GOOGLE,NVIDIA,AMAZON,CA,NY,MA,46.78,100.44,False,8207886.33,89133.06
Brian Fitzpatrick,R,PA,1.0,house,house_ways_and_means,Member,False,796777,807,18598,2.33,27,37235,4.67,74,0,0.0,0,13525,1.7,19,713556,89.56,673,13863,1.74,14,95.93,2.33,987.33,631,NEW YORK LIFE,APOLLO,SHADE TREE ADVISORS,NY,CA,FL,1.08,103.66,False,6439520.45,2640117.62
Jimmy Gomez,D,CA,34.0,house,house_ways_and_means,Member,False,317745,300,14000,4.41,9,220750,69.47,197,0,0.0,0,34100,10.73,47,48895,15.39,47,0,0.0,0,95.59,4.41,1059.15,254,MASSACHUSETTS GENERAL HOSPITAL,VITU,GDML,DC,VA,MA,1.02,101.92,False,2245652.6,946153.34
