week_start,sector,total_amount,transaction_count,distinct_pacs,distinct_recipients
2022-12-26,Other/Unclassified,1000,1,1,1
2023-01-02,Finance & Insurance,5000,1,1,1
2023-01-02,Other/Unclassified,67142,41,20,13
2023-01-09,Construction & Engineering,2500,1,1,1
2023-01-09,Food & Beverage,20000,4,1,4
2023-01-09,Healthcare & Pharma,2500,1,1,1
2023-01-09,Other/Unclassified,1240413,39,26,25
2023-01-09,Real Estate & Housing,3000,1,1,1
2023-01-16,Finance & Insurance,11500,5,2,5
2023-01-16,Healthcare & Pharma,4500,3,2,3
2023-01-16,Labor,4000,4,1,3
2023-01-16,Other/Unclassified,134759,67,41,29
2023-01-16,Real Estate & Housing,6000,3,1,3
2023-01-23,Finance & Insurance,24500,11,3,8
2023-01-23,Food & Beverage,10000,2,2,2
2023-01-23,Healthcare & Pharma,8500,5,4,5
2023-01-23,Labor,2000,2,1,2
2023-01-23,Other/Unclassified,230342,99,61,41
2023-01-23,Professional Services,2500,1,1,1
2023-01-23,Real Estate & Housing,8000,4,1,4
2023-01-23,Tech & Telecom,4500,2,2,2
2023-01-30,Finance & Insurance,50500,14,3,12
2023-01-30,Healthcare & Pharma,9000,6,3,6
2023-01-30,Other/Unclassified,256901,142,94,51
2023-01-30,Professional Services,1000,3,3,3
2023-01-30,Real Estate & Housing,8000,4,1,4
2023-01-30,Tech & Telecom,12500,3,2,3
2023-02-06,Construction & Engineering,-1000,1,1,1
2023-02-06,Energy & Utilities,2000,2,1,2
2023-02-06,Finance & Insurance,41500,17,5,15
2023-02-06,Food & Beverage,2000,1,1,1
2023-02-06,Healthcare & Pharma,55500,20,7,11
2023-02-06,Other/Unclassified,372086,105,68,42
2023-02-06,Professional Services,3750,1,1,1
2023-02-06,Real Estate & Housing,4500,2,2,2
2023-02-06,Retail & Consumer,2500,1,1,1
2023-02-06,Tech & Telecom,15000,6,2,6
2023-02-06,Transportation,14000,7,1,7
2023-02-13,Defense & Aerospace,15500,7,1,7
2023-02-13,Energy & Utilities,8000,5,1,5
2023-02-13,Finance & Insurance,26500,12,6,11
2023-02-13,Food & Beverage,2000,2,1,2
2023-02-13,Healthcare & Pharma,10000,8,3,6
2023-02-13,Labor,11000,3,1,3
2023-02-13,Other/Unclassified,690170,156,90,38
2023-02-13,Professional Services,2500,1,1,1
2023-02-13,Real Estate & Housing,5000,1,1,1
2023-02-13,Tech & Telecom,7000,4,2,4
2023-02-13,Transportation,3000,3,1,3
2023-02-20,Construction & Engineering,13500,8,1,8
2023-02-20,Defense & Aerospace,14500,12,2,11
2023-02-20,Energy & Utilities,2000,2,1,2
2023-02-20,Finance & Insurance,74000,35,6,25
2023-02-20,Healthcare & Pharma,8000,6,5,6
2023-02-20,Labor,7500,5,1,5
2023-02-20,Other/Unclassified,362201,149,87,48
2023-02-20,Professional Services,29000,11,3,10
2023-02-20,Real Estate & Housing,2000,1,1,1
2023-02-20,Retail & Consumer,1000,1,1,1
2023-02-20,Tech & Telecom,17000,4,3,4
2023-02-20,Transportation,14000,7,2,7
2023-02-27,Defense & Aerospace,13000,6,1,5
2023-02-27,Finance & Insurance,60000,21,7,14
2023-02-27,Food & Beverage,2500,1,1,1
2023-02-27,Healthcare & Pharma,66000,26,6,20
2023-02-27,Labor,0,8,1,4
2023-02-27,Other/Unclassified,437992,236,134,57
2023-02-27,Professional Services,10000,4,1,4
2023-02-27,Real Estate & Housing,-8000,2,1,2
2023-02-27,Retail & Consumer,15000,3,1,3
2023-02-27,Tech & Telecom,16500,6,2,6
2023-02-27,Transportation,2500,1,1,1
