pac_cmte_id,pac_name,total_given,num_recipients,recipients,r_total,d_total,connected_org,cmte_type,cmte_designation
C00002972,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION AMERICA'S ELECTRIC COOPERATIVES PAC,175000,50,"Aaron Bean, Adrian Smith, Ben Ray Lujan, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Catherine Cortez Masto, Claudia Tenney, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Dwight Evans, Greg Murphy, Greg Steube, Gwen Moore, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Cornyn, John Larson, Judy Chu, Kevin Hern, Linda Sanchez, Lloyd Smucker, Mark Warner, Max Miller, Michelle Fischbach, Mike Carey, Mike Kelly, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Randy Feenstra, Richard Neal, Ron Estes, Rudy Yakym, Stacey Plaskett, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Thomas Suozzi, Vern Buchanan",104500,70500,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),Q,B
C00447565,FINSECA PAC,162500,50,"Aaron Bean, Adrian Smith, Ben Ray Lujan, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Claudia Tenney, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Greg Murphy, Greg Steube, Gwen Moore, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Cornyn, John Larson, Judy Chu, Kevin Hern, Linda Sanchez, Lloyd Smucker, Max Miller, Michelle Fischbach, Mike Carey, Mike Crapo, Mike Kelly, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Randy Feenstra, Raphael Warnock, Richard Neal, Ron Estes, Rudy Yakym, Stacey Plaskett, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Thomas Suozzi, Todd Young, Vern Buchanan",93500,69000,,Q,B
C00147066,AMERICAN COUNCIL OF LIFE INSURERS POLITICAL ACTION COMMITTEE,184500,50,"Aaron Bean, Adrian Smith, Ben Ray Lujan, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Chuck Grassley, Claudia Tenney, Darin LaHood, David Kustoff, David Schweikert, Greg Steube, Gwen Moore, James Lankford, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Larson, John Thune, Judy Chu, Kevin Hern, Linda Sanchez, Lloyd Smucker, Mark Warner, Max Miller, Mike Carey, Mike Crapo, Mike Kelly, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Randy Feenstra, Raphael Warnock, Richard Neal, Ron Estes, Ron Wyden, Rudy Yakym, Stacey Plaskett, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Thomas Suozzi, Tina Smith, Todd Young",96500,88000,AMERICAN COUNCIL OF LIFE INSURERS,Q,B
C00030718,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,140000,49,"Aaron Bean, Adrian Smith, Ben Ray Lujan, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brian Fitzpatrick, Carol Miller, Danny Davis, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Dwight Evans, Greg Murphy, Greg Steube, Gwen Moore, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Cornyn, John Larson, Judy Chu, Kevin Hern, Linda Sanchez, Lloyd Doggett, Lloyd Smucker, Mark Warner, Max Miller, Mike Carey, Mike Kelly, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Randy Feenstra, Richard Neal, Ron Estes, Rudy Yakym, Stacey Plaskett, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Thomas Suozzi, Tina Smith, Vern Buchanan",82500,57500,NATIONAL ASSOCIATION OF REALTORS,Q,B
C00303339,"NATIONAL ASSOCIATION OF REAL ESTATE INVESTMENT TRUSTS, INC. POLITICAL ACTION COMMITTEE",178500,47,"Aaron Bean, Adrian Smith, Ben Ray Lujan, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Danny Davis, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Greg Murphy, Greg Steube, Gwen Moore, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Cornyn, John Larson, Kevin Hern, Linda Sanchez, Lloyd Doggett, Lloyd Smucker, Mark Warner, Max Miller, Michelle Fischbach, Mike Carey, Mike Kelly, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Richard Neal, Ron Estes, Rudy Yakym, Stacey Plaskett, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Thomas Suozzi, Vern Buchanan",105500,73000,"NATIONAL ASSOCIATION OF REAL ESTATE INVESTMENT TRUSTS, INC.",Q,B
C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),251000,47,"Aaron Bean, Adrian Smith, Ben Ray Lujan, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Claudia Tenney, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Greg Murphy, Greg Steube, Gwen Moore, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Cornyn, John Larson, Kevin Hern, Linda Sanchez, Lloyd Smucker, Mark Warner, Max Miller, Michelle Fischbach, Mike Carey, Mike Kelly, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Randy Feenstra, Richard Neal, Ron Estes, Rudy Yakym, Stacey Plaskett, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Thomas Suozzi, Vern Buchanan",178000,73000,AMERICAN BANKERS ASSOCIATION (ABA),Q,B
C00158881,NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,194500,47,"Aaron Bean, Adrian Smith, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Claudia Tenney, Darin LaHood, David Kustoff, Greg Steube, Gwen Moore, James Lankford, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Cornyn, John Larson, Judy Chu, Kevin Hern, Linda Sanchez, Lloyd Smucker, Mark Warner, Mike Carey, Mike Kelly, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Randy Feenstra, Richard Neal, Roger Marshall, Ron Estes, Ron Wyden, Rudy Yakym, Stacey Plaskett, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Thomas Suozzi, Tina Smith, Todd Young, Vern Buchanan",134000,60500,NEW YORK LIFE INSURANCE COMPANY,Q,B
C00039578,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,187500,46,"Aaron Bean, Adrian Smith, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Dwight Evans, Greg Murphy, Gwen Moore, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Cornyn, John Larson, Judy Chu, Kevin Hern, Linda Sanchez, Lloyd Smucker, Maggie Hassan, Mark Warner, Max Miller, Michelle Fischbach, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Randy Feenstra, Richard Neal, Roger Marshall, Ron Estes, Rudy Yakym, Stacey Plaskett, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Thomas Suozzi, Vern Buchanan",111500,76000,COUNCIL OF INSURANCE AGENTS & BROKERS,Q,B
C00105981,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),125500,46,"Aaron Bean, Adrian Smith, Ben Ray Lujan, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Catherine Cortez Masto, Darin LaHood, David Kustoff, David Schweikert, Greg Murphy, Greg Steube, Gwen Moore, Jason Smith, Jimmy Gomez, Jimmy Panetta, John Barrasso, John Cornyn, John Larson, Judy Chu, Kevin Hern, Linda Sanchez, Maggie Hassan, Mark Warner, Max Miller, Michael Bennet, Michelle Fischbach, Mike Carey, Mike Crapo, Mike Kelly, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Randy Feenstra, Richard Neal, Ron Estes, Ron Wyden, Rudy Yakym, Stacey Plaskett, Suzan DelBene, Terri Sewell, Thom Tillis",58000,67500,INVESTMENT COMPANY INSTITUTE,Q,B
C00010868,AMERICAN COUNCIL OF ENGINEERING COMPANIES (ACEC/PAC),190150,45,"Aaron Bean, Adrian Smith, Ben Ray Lujan, Beth Van Duyne, Bill Cassidy, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Claudia Tenney, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Dwight Evans, Greg Murphy, Greg Steube, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Cornyn, John Larson, Kevin Hern, Linda Sanchez, Lloyd Smucker, Mark Warner, Max Miller, Michelle Fischbach, Mike Carey, Mike Kelly, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Randy Feenstra, Richard Neal, Ron Estes, Rudy Yakym, Steve Daines, Suzan DelBene, Terri Sewell, Thom Tillis, Thomas Suozzi, Todd Young, Vern Buchanan",132150,58000,AMERICAN COUNCIL OF ENGINEERING COMPANIES,Q,B
