member_name,chamber,state,party,fec_total_receipts,fec_itemized_individual,fec_unitemized_individual,unitemized_pct,itemized_pct,pac_pct,our_itemized_total,capture_rate_pct,jfc_flag
Elizabeth Warren,senate,MA,D,9039537.78,4100299.53,4595547.11,50.84,45.36,0.66,4095429.0,99.88,False
Catherine Cortez Masto,senate,NV,D,3231721.21,1267007.48,1542810.35,47.74,39.21,3.4,1276360.0,100.74,False
Bernie Sanders,senate,VT,I,8207886.33,3401434.65,3839815.91,46.78,41.44,1.09,3416238.0,100.44,False
Raphael Warnock,senate,GA,D,4819907.15,2039541.77,1749373.83,36.29,42.31,1.81,2979130.0,146.07,False
Tim Scott,senate,SC,R,18856383.18,9650686.05,6525384.4,34.61,51.18,3.87,11860794.0,122.9,False
Rudy Yakym,house,IN,R,3726754.51,976855.39,1264452.36,33.93,26.21,19.61,1080325.0,110.59,False
Michael Bennet,senate,CO,D,1181527.92,557939.79,398102.72,33.69,47.22,4.96,502934.0,90.14,False
Ron Johnson,senate,WI,R,5374239.35,3577929.09,1574496.53,29.3,66.58,0.67,3575762.0,99.94,False
Tina Smith,senate,MN,D,1464674.23,769480.75,371195.69,25.34,52.54,20.74,775863.0,100.83,False
Claudia Tenney,house,NY,R,2995402.57,1019785.95,589941.69,19.69,34.05,40.15,1100698.0,107.93,False
Ben Ray Lujan,senate,NM,D,1364756.27,812375.14,259769.14,19.03,59.53,19.6,816400.0,100.5,False
Ron Wyden,senate,OR,D,1533627.54,392938.97,272578.61,17.77,25.62,20.17,397302.0,101.11,False
Greg Steube,house,FL,R,1735999.36,415011.72,266852.11,15.37,23.91,43.15,415271.0,100.06,False
Michelle Fischbach,house,MN,R,2016031.04,566658.02,281783.41,13.98,28.11,52.8,570564.0,100.69,False
Thomas Suozzi,house,NY,D,9646883.39,5953088.42,1289185.0,13.36,61.71,19.32,6014193.0,101.03,False
Nicole Malliotakis,house,NY,R,3371724.78,1192842.97,371517.52,11.02,35.38,37.54,1192614.0,99.98,False
Maria Cantwell,senate,WA,D,11147595.82,9014093.63,1120479.01,10.05,80.86,0.69,9051589.0,100.42,False
Jason Smith,house,MO,R,6549798.75,1756920.91,528855.67,8.07,26.82,53.13,1756665.0,99.99,False
Suzan DelBene,house,WA,D,3850571.4,1325453.31,310137.25,8.05,34.42,46.9,1336414.0,100.83,False
Steve Daines,senate,MT,R,1682254.18,460895.94,128067.61,7.61,27.4,41.24,462843.0,100.42,False
Don Beyer,house,VA,D,1948344.81,1013409.53,123922.43,6.36,52.01,40.94,1002034.0,98.88,False
Mark Warner,senate,VA,D,4266868.81,1979200.03,263751.12,6.18,46.39,16.66,1960339.0,99.05,False
John Thune,senate,SD,R,4163983.31,1100962.75,239030.04,5.74,26.44,13.35,1103601.0,100.24,False
Brad Schneider,house,IL,D,3855356.96,2042441.65,200405.28,5.2,52.98,41.43,2044077.0,100.08,False
Todd Young,senate,IN,R,1754997.99,576453.5,85196.25,4.85,32.85,18.82,587065.0,101.84,False
Marsha Blackburn,senate,TN,R,13571274.34,3275692.83,598406.76,4.41,24.14,15.79,3401229.0,103.83,False
James Lankford,senate,OK,R,913857.67,350428.73,40013.25,4.38,38.35,38.41,358403.0,102.28,False
John Barrasso,senate,WY,R,7761388.01,3311645.92,338691.83,4.36,42.67,35.11,3310219.0,99.96,False
Mike Thompson,house,CA,D,2434299.38,793904.9,100836.31,4.14,32.61,61.34,803374.0,101.19,False
Stacey Plaskett,house,VI,D,680670.67,314268.0,28069.62,4.12,46.17,49.17,317446.0,101.01,False
Danny Davis,house,IL,D,863135.13,330612.4,34903.61,4.04,38.3,51.97,317612.0,96.07,False
Darin LaHood,house,IL,R,3753031.58,840718.93,144061.74,3.84,22.4,57.02,836260.0,99.47,False
John Larson,house,CT,D,1542287.58,422505.0,58686.76,3.81,27.39,67.71,428855.0,101.5,False
Jimmy Panetta,house,CA,D,3357555.24,1469319.9,114384.53,3.41,43.76,52.74,1487740.0,101.25,False
Steven Horsford,house,NV,D,5441412.69,2561039.29,181254.41,3.33,47.07,46.7,2598960.0,101.48,False
Judy Chu,house,CA,D,1915612.32,1127033.76,60915.23,3.18,58.83,37.67,1127907.0,100.08,False
Mike Carey,house,OH,R,2699201.24,837706.07,80421.32,2.98,31.04,57.93,835588.0,99.75,False
David Schweikert,house,AZ,R,4213494.89,1631555.1,121838.47,2.89,38.72,37.22,1648703.0,101.05,False
Gwen Moore,house,WI,D,1356549.62,353733.91,38667.7,2.85,26.08,70.29,345033.0,97.54,False
Terri Sewell,house,AL,D,3036770.95,894692.69,78204.3,2.58,29.46,67.96,887691.0,99.22,False
Nathaniel Moran,house,TX,R,1084376.71,295349.3,27966.95,2.58,27.24,32.76,304802.0,103.2,False
Dwight Evans,house,PA,D,976087.83,294346.89,24107.22,2.47,30.16,67.33,288875.0,98.14,False
Peter Welch,senate,VT,D,330882.07,59402.55,7996.17,2.42,17.95,13.03,58406.0,98.32,False
Thom Tillis,senate,NC,R,2474642.46,1316383.64,56135.53,2.27,53.19,42.56,1347146.0,102.34,False
John Cornyn,senate,TX,R,3377426.45,1195827.4,74708.15,2.21,35.41,17.62,1193195.0,99.78,False
Vern Buchanan,house,FL,R,1824538.71,487133.75,39274.67,2.15,26.7,67.67,488845.0,100.35,False
Lloyd Smucker,house,PA,R,1827917.74,284808.3,29706.39,1.63,15.58,57.55,290100.0,101.86,False
Lloyd Doggett,house,TX,D,1541302.79,653065.91,23993.0,1.56,42.37,29.23,652694.0,99.94,False
Greg Murphy,house,NC,R,1939613.96,856402.61,28798.21,1.48,44.15,44.99,907043.0,105.91,False
